Title,Date,Location
Ministry of Culture Events,,
Amwaj Al Aqaba Festival,,
Muhab,28-Aug-25,Amman
George Nehme,28-Aug-25,Fuheis
Haitham elias,28-Aug-25,Fuheis
Firas teameh,28-Aug-25,Fuheis
Hiba Tawaji & Oussama Rahbani,30-Aug-25,Amman
Wagef!,4-Sep-25,Amman
Petra Desert Marathon 2025,03 Sep - 08 Sep 2025,Petra
Mohamed Chaker & Nour Kamar,12-Sep-25,Amman
Funk Festival 2025,12-Sep-25,Amman
BLTNM IN AMMAN,18-Sep-25,Amman
Adriatique,19-Sep-25,Dead Sea
RAMPA & ADAM PORT,19-Sep-25,Amman
The Crowd Gigs,3-Oct-25,Amman
TEDxAmman Conference,4-Oct-25,Amman
Sami Yusuf,11-Oct-25,Amman
Bromine Amman Marathon,17-Oct-25,Amman
THRU HIKE 2025,09 Oct - 20 Nov 2025,Amman
Ayla Red Sea Half Marathon,5-Dec-25,Aqaba
